---Протокол---07.10.2025 02:58:45 ---
error117.txt
error117.txt.out
error117.txt.log
Количество символов: 1520
Пропущено: 0
Количество строк: 16
Количество удаленных пробелов: 0


Таблица лексем:
01 dtidtidtidtidti
02 dtidtidtidtidti
03 dtidtidtidtidti
04 dtidtidtidtidti
05 dtidtidtidtidti
06 dtidtidtidtidti
07 dtidtidtidtidti
08 dtidtidtidtidti
09 dtidtidtidtidti
10 dtidtidtidtidti
11 dtidtidtidtidti
12 dtidtidtidtidti
13 dtidtidtidtidti
14 dtidtidtidtidti
15 dtidtidtidtidti
16 dtidtidtidtidti

Таблица идентификаторов:
aa, INT, V, 3, 0
ab, INT, V, 6, 0
ac, INT, V, 9, 0
ad, INT, V, 12, 0
ae, INT, V, 15, 0
af, INT, V, 18, 0
ag, INT, V, 21, 0
ah, INT, V, 24, 0
ai, INT, V, 27, 0
aj, INT, V, 30, 0
ak, INT, V, 33, 0
al, INT, V, 36, 0
am, INT, V, 39, 0
an, INT, V, 42, 0
ao, INT, V, 45, 0
ap, INT, V, 48, 0
aq, INT, V, 51, 0
ar, INT, V, 54, 0
as, INT, V, 57, 0
at, INT, V, 60, 0
au, INT, V, 63, 0
av, INT, V, 66, 0
aw, INT, V, 69, 0
ax, INT, V, 72, 0
ay, INT, V, 75, 0
az, INT, V, 78, 0
ba, INT, V, 81, 0
bb, INT, V, 84, 0
bc, INT, V, 87, 0
bd, INT, V, 90, 0
be, INT, V, 93, 0
bf, INT, V, 96, 0
bg, INT, V, 99, 0
bh, INT, V, 102, 0
bi, INT, V, 105, 0
bj, INT, V, 108, 0
bk, INT, V, 111, 0
bl, INT, V, 114, 0
bm, INT, V, 117, 0
bn, INT, V, 120, 0
bo, INT, V, 123, 0
bp, INT, V, 126, 0
bq, INT, V, 129, 0
br, INT, V, 132, 0
bs, INT, V, 135, 0
bt, INT, V, 138, 0
bu, INT, V, 141, 0
bv, INT, V, 144, 0
bw, INT, V, 147, 0
bx, INT, V, 150, 0
by, INT, V, 153, 0
bz, INT, V, 156, 0
ca, INT, V, 159, 0
cb, INT, V, 162, 0
cc, INT, V, 165, 0
cd, INT, V, 168, 0
ce, INT, V, 171, 0
cf, INT, V, 174, 0
cg, INT, V, 177, 0
ch, INT, V, 180, 0
ci, INT, V, 183, 0
cj, INT, V, 186, 0
ck, INT, V, 189, 0
cl, INT, V, 192, 0
cm, INT, V, 195, 0
cn, INT, V, 198, 0
co, INT, V, 201, 0
cp, INT, V, 204, 0
cq, INT, V, 207, 0
cr, INT, V, 210, 0
cs, INT, V, 213, 0
ct, INT, V, 216, 0
cu, INT, V, 219, 0
cv, INT, V, 222, 0
cw, INT, V, 225, 0
cx, INT, V, 228, 0
cy, INT, V, 231, 0
cz, INT, V, 234, 0
da, INT, V, 237, 0
db, INT, V, 240, 0
